PseudobulkSet_ID	Alias	CellAnnotation	CellQualifier	SampleTermName	InputFileSetType	Status	FragmentsFile_Aliases	FragmentsFile_Status	FragmentsFile_Href	FragmentsFile_MD5	N_Fragments_Files
/pseudobulk-sets/IGVFDS3920QDLI/	yang-li:catlas-human-pseudobulk-EMSN_234	brain EMSN_234 medium spiny neuron (Hsap)		EMSN_234 medium spiny neuron (Hsap)	curated-set	in progress	yang-li:catlas-human-EMSN_234_fragments	in progress	/tabular-files/IGVFFI3117BGUY/@@download/IGVFFI3117BGUY.tsv.gz	436933dbff6445ed053f9e4f90f94603	1
/pseudobulk-sets/IGVFDS9341DOSM/	yang-li:catlas-human-pseudobulk-Bgl_51	brain Bgl_51 Bergmann glial cell (Hsap)		Bgl_51 Bergmann glial cell (Hsap)	curated-set	in progress	yang-li:catlas-human-Bgl_51_fragments	in progress	/tabular-files/IGVFFI7973SBYB/@@download/IGVFFI7973SBYB.tsv.gz	aa2bd0a9e65c9a01cc91a38e3aedb5d9	1
/pseudobulk-sets/IGVFDS9354OUUF/	yang-li:catlas-human-pseudobulk-EMSN_225	brain EMSN_225 medium spiny neuron (Hsap)		EMSN_225 medium spiny neuron (Hsap)	curated-set	in progress	yang-li:catlas-human-EMSN_225_fragments	in progress	/tabular-files/IGVFFI2541XQCJ/@@download/IGVFFI2541XQCJ.tsv.gz	289c316d2cb6557512d33964c6e11646	1
/pseudobulk-sets/IGVFDS8622BJQV/	yang-li:catlas-human-pseudobulk-MSN_212	brain MSN_212 indirect pathway medium spiny neuron (Hsap)		MSN_212 indirect pathway medium spiny neuron (Hsap)	curated-set	in progress	yang-li:catlas-human-MSN_212_fragments	in progress	/tabular-files/IGVFFI1051ICXO/@@download/IGVFFI1051ICXO.tsv.gz	d1b13bda292dd1903ee3837afcb3609b	1
/pseudobulk-sets/IGVFDS8812KQWZ/	yang-li:catlas-human-pseudobulk-Thex_448	brain Thex_448 thalamic excitatory neuron (Hsap)		Thex_448 thalamic excitatory neuron (Hsap)	curated-set	in progress	yang-li:catlas-human-Thex_448_fragments	in progress	/tabular-files/IGVFFI4351FLYJ/@@download/IGVFFI4351FLYJ.tsv.gz	ec8ae05c354d6bf6768c37aef7ee652b	1
/pseudobulk-sets/IGVFDS9448IFXS/	yang-li:catlas-human-pseudobulk-DLIT_151	brain DLIT_151 intratelencephalic-projecting glutamatergic cortical neuron (Hsap)		DLIT_151 intratelencephalic-projecting glutamatergic cortical neuron (Hsap)	curated-set	in progress	yang-li:catlas-human-DLIT_151_fragments	in progress	/tabular-files/IGVFFI5143PFEP/@@download/IGVFFI5143PFEP.tsv.gz	960bee5340b8c47f1967be56a42a1975	1
/pseudobulk-sets/IGVFDS7073WEEZ/	yang-li:catlas-human-pseudobulk-Midi_439	brain Midi_439 midbrain-derived inhibitory neuron (Hsap)		Midi_439 midbrain-derived inhibitory neuron (Hsap)	curated-set	in progress	yang-li:catlas-human-Midi_439_fragments	in progress	/tabular-files/IGVFFI0660RBCB/@@download/IGVFFI0660RBCB.tsv.gz	0b357e153dce1e27d64bb9acc291680b	1
/pseudobulk-sets/IGVFDS1404ZVZV/	yang-li:catlas-human-pseudobulk-Splat_339	brain Splat_339 neuron (Hsap)		Splat_339 neuron (Hsap)	curated-set	in progress	yang-li:catlas-human-Splat_339_fragments	in progress	/tabular-files/IGVFFI3906LONW/@@download/IGVFFI3906LONW.tsv.gz	33fb854419245153585b05983bb7dacf	1
/pseudobulk-sets/IGVFDS3580GKOQ/	yang-li:catlas-human-pseudobulk-CBI_299	brain CBI_299 cerebellar inhibitory GABAergic interneuron (Hsap)		CBI_299 cerebellar inhibitory GABAergic interneuron (Hsap)	curated-set	in progress	yang-li:catlas-human-CBI_299_fragments	in progress	/tabular-files/IGVFFI0824NSKC/@@download/IGVFFI0824NSKC.tsv.gz	1e74abdc12bf0cd91cb6a205e0cf076c	1
/pseudobulk-sets/IGVFDS7076LTCB/	yang-li:catlas-human-pseudobulk-MSN_221	brain MSN_221 indirect pathway medium spiny neuron (Hsap)		MSN_221 indirect pathway medium spiny neuron (Hsap)	curated-set	in progress	yang-li:catlas-human-MSN_221_fragments	in progress	/tabular-files/IGVFFI6240LIDV/@@download/IGVFFI6240LIDV.tsv.gz	5b049130abed3bfbd539249b60b2ac7b	1
